Name,Type,Mag,Dist. / kpc,Constellation,R.A.,Rahours,Raminutes,Radeg,Decl.,Decdeg,Decmin,DeclDeg,RadRa,RadDec,Other names
NGC 914,Galaxy,13.8,79000,Andromeda,226,2,26,36.5,+42°08',42,8,42.13333333,0.637045177,0.735365392,
NGC 549,Galaxy,15.5,79700,Sculptor,125,1,25,21.25,-38°00',-38,0,-38,0.370882466,-0.663225116,
NGC 93,Galaxy,13.3,79900,Andromeda,22,0,22,5.5,+22°24',22,24,22.4,0.095993109,0.390953752,
NGC 127,Galaxy,14,79900,Pisces,29,0,29,7.25,+02°52',2,52,2.866666667,0.126536371,0.050032772,
NGC 291,Galaxy,14.6,80000,Cetus,53,0,53,13.25,-08°46',-8,-46,-8.766666667,0.231256126,-0.153007198,
NGC 442,Galaxy,14.3,80200,Cetus,114,1,14,18.5,-01°01',-1,-1,-1.016666667,0.322885912,-0.017744181,
NGC 41,Galaxy,14.5,80300,Pegasus,12,0,12,3,+22°01',22,1,22.01666667,0.052359878,0.384263324,
NGC 327,Galaxy,13.4,80300,Cetus,57,0,57,14.25,-05°07',-5,-7,-5.116666667,0.248709418,-0.08930268,
NGC 501,Galaxy,14.4,80500,Pisces,123,1,23,20.75,+33°25',33,25,33.41666667,0.36215582,0.583230858,
NGC 80,Galaxy,12.3,81000,Andromeda,21,0,21,5.25,+22°21',22,21,22.35,0.091629786,0.390081088,
NGC 534,Galaxy,14.4,81100,Sculptor,124,1,24,21,-38°07',-38,-7,-38.11666667,0.366519143,-0.665261333,
NGC 921,Galaxy,15.4,81300,Cetus,226,2,26,36.5,-15°50',-15,-50,-15.83333333,0.637045177,-0.276343798,
NGC 24,Galaxy,11.5,8170,Sculptor,9,0,9,2.25,-24°57',-24,-57,-24.95,0.039269908,-0.435459648,
NGC 747,Galaxy,14.5,82000,Cetus,157,1,57,29.25,-09°27',-9,-27,-9.45,0.510508806,-0.164933614,
